,Sign,Mean Rating,Median Rating,Median RT,Mean Log (RT)
169,Agree,4.68,5,"3,041",8.04
170,Pain,4.68,5,"2,752",8.05
171,Impossible,4.68,5,"3,040",8.05
172,Misunderstand,4.68,5,"2,760",8.01
173,Strange,4.68,5,"2,704",7.97
174,Expensive,4.66,5,"2,835",8.01
175,Stubborn,4.66,5,"2,505",7.9
176,Fall (autumn),4.66,4,"2,603",7.93
177,Wonder,4.66,5,"2,772",7.98
178,Run,4.66,5,"2,557",7.97
179,Tea,4.64,5,"2,585",7.97
180,Behind,4.64,5,"2,941",8.02
181,Center,4.64,4,"2,647",7.98
182,Dream,4.64,5,"2,719",7.95
183,Challenge,4.63,5,"2,942",8.05
184,Moron,4.63,5,"2,661",8.0
185,Patient (adj),4.63,5,"2,663",7.97
186,Because,4.63,5,"2,656",8.0
187,Reason,4.63,5,"2,576",7.96
188,Vacation,4.61,5,"2,844",7.94
189,Drunk,4.61,5,"2,790",7.98
190,Price,4.59,4,"3,634",8.31
191,Type/Kind,4.59,5,"2,635",7.94
192,Country,4.59,5,"2,826",7.98
193,Require,4.58,5,"2,593",7.99
194,Potato,4.58,4,"2,654",8.06
195,Birth,4.58,5,"2,861",8.0
196,Emotion,4.58,5,"2,774",7.98
197,Exercise,4.56,4,"2,961",8.07
198,Court,4.56,5,"2,618",7.97
199,Fight,4.56,5,"2,532",7.93
200,Multiply,4.54,5,"2,820",7.99
201,Warm,4.54,5,"2,885",8.03
202,And,4.54,5,"3,222",8.13
203,Miss/Gone,4.54,5,"2,330",7.9
204,Color,4.54,4,"2,697",7.97
205,$5,4.54,5,"2,843",7.99
206,Body,4.53,5,"2,833",8.01
207,Machine,4.53,5,"2,561",7.97
208,Two,4.53,4,"3,126",8.07
209,Apple,4.53,5,"2,483",7.9
210,Kid,4.53,5,"2,704",8.0
211,Ask,4.51,5,"2,716",7.98
212,Rude,4.51,5,"3,011",7.99
213,Knife,4.51,5,"3,014",8.08
214,Rain,4.51,5,"2,842",8.0
215,Person,4.49,5,"3,117",8.04
216,Win,4.49,4,"3,001",8.12
217,Onion,4.49,4,"2,738",7.94
218,Thin,4.49,5,"2,695",7.96
219,Drop,4.47,5,"2,909",7.97
220,Three,4.47,5,"2,882",8.02
221,Appointment,4.47,4,"2,962",8.04
222,Honor,4.47,5,"2,433",7.86
223,Shower,4.47,5,"3,134",8.07
224,Butter,4.47,5,"2,716",8.01
225,Honest,4.47,5,"2,634",7.95
226,Blue,4.47,4,"2,843",7.97
227,Power,4.47,5,"3,239",8.21
228,That,4.47,5,"2,828",8.03
229,Animal,4.46,4,"2,862",8.08
230,Bird,4.46,4,"2,732",7.95
231,Cry,4.46,4,"2,515",7.92
232,Gallaudet,4.46,4,"3,072",8.06
233,Debt,4.46,5,"2,771",8.01
234,Drama,4.46,5,"2,759",7.97
235,Suspect,4.44,4,"2,835",8.04
236,Sunny,4.44,5,"2,957",8.07
237,Fire,4.44,4,"2,576",7.94
238,Poor,4.44,4,"2,905",7.99
239,Beer,4.44,4,"2,881",8.04
240,Baggage,4.44,5,"2,658",7.92
241,Hospital,4.44,4,"2,897",8.03
242,Green,4.44,4,"2,672",7.92
243,Shirt,4.42,5,"2,827",8.03
244,Counselor,4.42,4,"2,810",7.98
245,Congratulations,4.41,4,"2,715",7.96
246,Caption,4.41,4,"2,885",8.07
247,Grandmother,4.41,4,"2,899",8.03
248,Tempt,4.39,4,"2,548",7.89
249,High School,4.39,4,"2,691",7.93
250,Cereal,4.39,4,"2,803",8.05
251,Grandfather,4.37,4,"2,764",7.98
252,Basement,4.37,4,"2,727",7.91
253,Some,4.37,4,"2,804",8.0
254,Banana,4.36,4,"3,024",8.1
255,Bowl,4.36,4,"2,786",7.95
256,Grow,4.36,4,"2,712",7.98
257,Serious,4.36,4,"2,820",8.0
258,Red,4.34,5,"2,703",7.99
259,Cup,4.32,4,"2,965",8.06
260,French-fries,4.32,4,"3,179",8.09
261,Deep,4.31,4,"2,869",8.03
262,Cookie,4.29,4,"2,478",7.91
263,Secret,4.27,4,"3,071",8.07
264,Cheese,4.27,4,"2,846",7.99
265,Appear,4.27,4,"2,964",8.0
266,70,4.27,4,"3,025",8.14
267,Character,4.27,4,"2,810",7.99
268,Box,4.27,4,"2,852",8.07
269,Freeway,4.25,4,"2,869",8.02
270,Flower,4.25,4,"2,540",7.93
271,After,4.24,4,"2,921",8.01
272,Black,4.24,4,"2,767",8.04
273,Sentence,4.24,4,"2,985",8.03
